민원 내용	담당부서
"해운대 수목원 입구에서 정관산업도로 진입로와 회동동을 잊는 석대로
(부산광역시도81번) 에서 오늘 운전중에 역주행 하는 차와 사고가 날뻔하여 건의 하고자 글을 올립니다.
정관산업로에서 삐져나와 해운대 수목원 방면 석대로 쪽으로 나와 얼마 되지 않아 역주행 차와 마주하여 저를 후미에서 따라오던 여러차들과 사고가 날뻔한 일이 있었습니다.
그 도로에서 오늘 뿐만 아니라 종종 역주행 해서 회동동 넘어가는 차도 많이 봤습니다.
차선 유도봉도 설치되어 있긴하지만 짧게 설치되어있어서 역주행으로 넘어가는 차가 많습니다.
오늘 역주행 차량과 사고가 날뻔하고 보니 가드레인 설치가 필요한것 같아 민원 올려봅니다.
그 도로는 차량의 진행속도가 매우 빨리 다니는 도로입니다.
역주행 하시는 분들은 빠른길로 역주행해서 회동동 가시고 싶은 마음이겠지만 그러다가 여러 사람 빨리 하늘 갑니다.
역주행을 절대 하면 안됩니다. 역주행 할 수 있는 곳도 빠른 도로 수정으로 사고를 막는게 맞다고 봅니다.
빠른 가드레인 설치가 꼭 필요합니다.
최소한 역주행 금지표지판이라도 설치가 시급하다고 생각 합니다.

※ 첨부파일 :
금정구.png"	경제환경국 자원순환과
"부산 금정구 금샘로 556 건물주 입니다.

가로수가 저희 건물을 덮치고 있어

30년된 건물 외벽공사 진행하기가 힘듭니다.

외부 비계설치 및 발판설치하기가 불가능해서

담당부서 조치바랍니다.

유달리 저희 건물만 가로수가 덮치고 있네요.

※ 첨부파일 :
1.jpg"	경제환경국 자원순환과
"금정구 부곡로 18번안길 95 신동아 아파트 입니다
당 아파트 어린이 놀이시설이 노후화하여 사용하지않고 있으며 단지내 어린이 들도 놀이시설 노후화로 부모님들의 만류로 사용치 않고 잇읍니다 그네 등 놀이시설이 노후하기도 하지만 비좁은 놀이터에 그네사용 만을 위한 울타리 를 치라고 안전검사 기관에서 통지가 왔으므로 협소한 공간에 울타리를 설치할수도 없고 그렇다고 노후시설물을 방치 할수도 없어 부득히 철거 하고자 합니다. 이를 위한 신고나 허가 등을 위한 행정 안내를 하여 주시기 바람니다 공동주택 관리법 시행령 별표 3은 확인하였으나 구체적인 사항이 없읍니다.
또 가능하다면 철거가 허가나 신고로 가능한지 알려 주시기 바람니다."	안전도시국 도시관리과
"남산역 3번출구 경동아파트 골목을 지나다닐때마다 밤에 너무 어둡습니다.
불편한것도 있고 범죄의 위험이 높아보입니다.

가로등 추가 설치를 요청드립니다.
(학산로 7번길)"	안전도시국 건축과
금정구청에서 부산대 방향으로 이동하는 중앙대로에서 윤산터널 빠지는 곳에 위치한 유턴 신호 보면 좌/보행신호시 라고 적혀 있습니다. 밤늦게 운전할때 좌회전 신호는 잘 보이는데 보행신호시에는 보행신호가 잘 보이지않아 유턴여부가 긴가민가 하여 보행신호 보이는 곳까지 앞으로 진행하는 일이 잦습니다. 그냥 유턴등 하나 있으면 좋겠습니다.	문화복지국 문화관광과
"오늘 황산도 금정장원길을 걸어봤습니다
동래CC를 지나 소류지근처에 세워진 안내판 우측에 설치된 약도를 보니 좌우 방향이 바뀌어져 있어 어리둥절했습니다
분명 약도 왼쪽으로는 남산역이 표시되어 있고 오른쪽으로는 상현마을이 표시되어 있습니다.
안내약도를 보고 상현마을이나 회동수원지 가시려는 분은 오른쪽방향로 가도록 안내되어 있네요
지금 설치된 안내약도는 반대편에 설치되어야 맞겠죠..
구민분들 뿐아니라 타지에서 오시는 방문객분들께 불편함이 없도록 빠른시간내에 교체하시기 바랍니다
안내판 및 약도 사진 첨부합니다

※ 첨부파일 :
C1D17C9A-A4B6-4A99-966C-8B84AD124FA6.jpeg
9CF2B05F-CC4B-40F4-8F1F-27AA2430C042.jpeg"	경제환경국 환경위생과
"불법 광고물 부착 전화폭탄 돌리는거 진짜 어이없네요 (누가 만든 시스템인지 개선 좀 하세요 )
저는 불법광고를 한적이 없는데 민원이 들어와서 어리둥절 했어요

부산 금정구청은 민원이 들어오면 일단 앞뒤 상황 확인도 안하고 대충 처리하시나봐요

알고보니 담당자 실수가 있어서 엄한 사람이 피해보게 만들어놓고
업무 처리를 어떻게 하길래 확인도 제대로 안하고 하시나요?

바빠서 그렇다고 하는데 그게 말입니까?
하루종일 수십통의 전화폭탄이 와서 업무를 못할정도로 피해를 봤는데
바빠서 처리를 잘못했다는게 이유가 된다고 생각하시나요
해당부서 담당자의 업무 처리 실수로 이렇게 엄한 사람이 피해를 보는데 거기까지는 생각 못하셨나봐요

불법광고물 근절하기 위한 전화폭탄 시스템은
그냥 구청 업무 줄일라고 대충 만든 시스템인것 같습니다

이렇게 담당부서 주무관의 작은 실수로 엄한 사람 피해보는건 생각을 아예 안하신것 같네요

담당자님은 바쁘니까 대충 처리한 작은 실수일지 몰라도 피해자는 굉장히 스트레스고 큰 피해거든요?

핸드폰 번호 잘못 입력한 일로 이렇게 피해를 볼 수 있는지 처음 알았습니다

전화 폭탄 돌리는 시스템 개선 좀 하세요
누구 머리속에서 나온건지.. 진짜 이런 어이없는 시스템도 있다는걸 오늘 처음 알았네요"	행정지원국 총무과
"윤산 등산로에 있는 금정 제12호 윤산 약수터 (금정구 부곡3동 15-17)가 2달 넘게 계속 고장입니다.
틀어도 안 나오고 밑으로 새기도 하는데 빨리 고쳐주세요.
몇 번이나 헛걸음했네요. 저만 아니라 등산객들이 다들 불편해합니다.
시설 관리를 제대로 하셔야겠습니다.

※ 첨부파일 :
IMG_2362.MOV
photo_2021-10-05_22-49-30.jpg"	안전도시국 건축과
"선동 입구부터 인도와 자전거 도로에 잡초가 무성하여 자전거 주행시 또는 도보산책시 많은 불편이 있어 민원신청합니다.
빠른 도로 정비 부탁합니다."	경제환경국 공원녹지과
"청룡교 굴다리 앞 맨홀 뚜껑이 제대로 고정이 안되어서 어제 저녁 걷다가 멘홀 뚜껑 한쪽이 내려 앉아 넘어져서 무릎도 약간 까이고 바지도 손상됨 일어나 보니 멘홀이 아귀가 안맞은 채로 걸려 있는 상태라 멘홀 뚜껑을 들어 돌려서 대충 맞춰놨지만 완벽히 고정이 안되어 다시 빠질 수 있는 상태임 자동차가 한 두 번 지나가면 다시 빠질 수 있는 상태예요. 양쪽을 발로 디뎌보면 흔덩거림. 사진첨부 합니다. 청룡교 아래 굴다리 마치는곳에 범어사방향에 있는 멘홀이예요. 빨리 조치해 주세요. 멘홀 속이 깊던데 사람 빠지면 큰 부상 입을 것 같아요.

※ 첨부파일 :
멘홀2.jpg
멘홀1.jpg
멘홀3.jpg"	경제환경국 공원녹지과
"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202109291231023576 선행민원상세조회"	안전도시국 건설과
"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202109152001492542 선행민원상세조회"	경제환경국 환경위생과
"안녕하세요?
최근 감동적인 사레에 감탄하여 그냥 지나치기에는 아쉬움이 많아 몇자 적어봅니다.
최근 주차장 카메라 노후로 인하여 운영하시는분께서 많은 애로를 느끼고 있었던 같습니다. 만일 사고로 인한 확인 여부가 불투명하여 구청 담당자와 연락을 하던 중 에산부족으로 인하여 올해에는 불가능할듯 하다면서 잠시 기다려잘라는 외신을 받고 있었답니다.
당연한 애기라 생각하고 포기하고 있던 중 카메라 업체에서 연락이 왔습니다. 비용이 얼마나 되는지 격적서를 보내달라는 것입니다.
되고 않되는고 추후 문제이고, 우선 담당공무원께서 애로 사항을 깊이 인식하고 적극적으로 검토하여 주신점에, 일반적으로 공무원에대한 인식이 바뀌에 되었습니다.흔히 공무원들은 원칙과 일이 생기는 것에는 싫어하고, 복지부동하는 일반적인 생각을 민원인에게 바꾸게 되었다는 것입니다.
한차례 통화를 한적이 있는데 응대방식, 민원인에 대한 예의등이 매우 감동적이었습니다., 이러한 사례가 구청내부통신망에도 전달되어 구청에 근무하시는 모든분들께서 되고 않되고는 추후에 미루더라고, 민원인 입장세 긍정적 검토를 했다는데는 아주 훌륭한 사례가 되었다고 생각하였습니다, 이름은 모르지만 휴대전화만은 알고있어 꼭 모법 공무원으로서 긍지를 가질 수 있도록 본인에게 근무의욕이 향상 되도록 구청장님께서 격려해 주셨으면 합니다, 기대하고 결과를 기다리고 있겠습니다. 그분의 전화번호는 010)9415-2568입니다"	안전도시국 건설과
"부산대 갤러기안경본점 일방통행로 길 정비 좀 해주세여
여기 차가 지나가면 일반통행로이지만 사람과 차가 많아서
지나가기가 힘이 듭니다
노란색으로 선이 있는 곳에 대부분 저런 커다란 입간판들이 많아서
차를 피해 갈길이 없습니다

코로나 때문에 다들 힘들고 바쁘지만 할일은 좀 해주세요

※ 첨부파일 :
DD922959-4722-40D0-8049-4CD807AA938B.png"	안전도시국 교통행정과
"가톨릭대학교 간호대학과 천주교 오륜대 순교자성지(순교자 박물관) 사이에 계곡이 흐르고 있습니다.
(간호대학의 산책로가 계곡을 따라 가다가 다리가 있으며 그 다리에서 박물관 가는길과 만성장(횟집)마당으로 가는 길이 나누어 집니다.
그 계곡의 다리 밑에 전번 태풍시 위에서 떠내려 온 고목이 계곡을 가로 질러 놓여 있습니다.
앞으로 큰 비가 오거나 태풍이 오면 이 때문에 계곡이 막혀 이 일대에 피해가 있을 수 있습니다.
구청에서 이 고목을 치워주시기를 민원합니다.
(전화로 민원을 하였으나 처리되지 않고 있습니다)"	경제환경국 일자리경제과
"수고 많으십니다.
몇주동안 처리 되지 않고 있던 쓰레기폐기물이 처리 되지 않고 있더니
주말을 보내고 출근하니 첨부한 사진의 폐기물들이 저희 건물 1층 입구안에
들여져 있었습니다.
이번이 처음의 경우가 아니고 지속적으로 이루워지고 있는 투기 행태에 민원을
간곡히 신청드리오니 신속한 처리 부탁드리겠습니다.
불과 몇미터 떨어진 곳에 ccvt가 설치 되고 나니 사각지대인 저희 전물옆에
이와 같이 무단투기가 이루워지고 있습니다.

※ 첨부파일 :
KakaoTalk_20210927_111522334.jpg"	안전도시국 건설과
"범어사 - 고당봉 - 북문 산길쪽에 1년 미만의 유기견 여러마리가 있습니다. 현재는 1년 미만의 어린 유기견이지만 향후 성견이 되면 제법 큰 개로 보여지며 등산객을 위협할 걸로 예상됩니다. 미리 조치를 취하는게 좋지 않을까합니다.
흰둥이 검둥이 등 형제로 4~5마리 정도 되는 걸로 보여집니다. 수고하십시요.

※ 첨부파일 :
유기견.jpg"	안전도시국 교통행정과
"첨부파일 1에 따라 부산 중앙대로가 6차로에서 10차로로 변경되며 50M의 폭을 가진 도로로 변경된다고 들었습니다.

이렇게 된다면 부곡초등학교로 등교하는 대우아파트, 부산대삼한 아파트, 우신아파트의 자녀들은 10차선 50m도로를 건너서 등교하여야 하며 금양중학교, 부산사대부설고등학교 등 수많은 학생들이 50M의 10차선 대로를 건너 매일 등교 하여야 합니다.

차 폭이 너무 넓어 사고의 발생 확률이 높으며 특히 배달주문의 증가로 신호를 무시하는 오토바이와 보행자간 사고 확률이 너무 높습니다...!!!!

이에 금정구청에서는 적극적으로 부산시와 협의하여 안전한 통학로를 확보할 수 있도록 육교 설치를 적극적으로 추진 부탁 드립니다!

※ 첨부파일 :
육교설치 필요 지도.png
도시계획시설사업실시계획열람공고문_중앙대로확장공사.hwp"	안전도시국 도시관리과
"윤산 정상에 조성된 철쭉 단지에 잡풀이 무성하여 조경수가 고사지경이네요 일전에 전화 신고 하였는데 아직 방치 삼태로 있습니다.

※ 첨부파일 :
20210920_080003.jpg
20210920_080055.jpg"	행정지원국 총무과
"유충으로 보이는 벌레들이 담벼락이며 마당이며 바글바글합니다. 며칠전부터 보이기 시작했는데 이걸 어떻게 해야할까요? 방역요청드려도 될까요?

※ 첨부파일 :
KakaoTalk_20210924_142602395.jpg
KakaoTalk_20210924_142705190.jpg
KakaoTalk_20210924_142602395.jpg"	구서2동
"공원 주차장에 이 통로가 생기고부터 집앞에 주차장 이용객들이 자꾸 집앞에 쓰레기 담배꽁초를 버립니다 공영주차장 출구를 막아 주시던지 조치를 취해 주십시요

밤에 몰래 쓰레기를 버리는 경우도 허다 합니다

※ 첨부파일 :
20210923_162358.jpg"	경제환경국 일자리경제과
"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202109141107232352 선행민원상세조회"	안전도시국 교통행정과
"코로나 바이러스가 생긴 이래로 식당 및 카페 등에서 비대면으로 물건과 서비스를 사고 파는 방식이 증가하고 있습니다. 자연스럽게 카페 및 패스트푸드점 등에서도 드라이브스루 이용고객 비율이 크게 늘고 있으나 그 과정에서 교통 유발, 교통 혼잡, 도로 점거 등의 문제가 발생하고 있습니다. 그로 인해 광역지자체에서는 '교통유발부담금'이라는 제도적 장치를 마련했지만, 그마저도 연면적 1000제곱미터 이상의 대규모 건물만 해당되어 비교적 규모가 작은 대부분의 카페나 식당 등에는 효과가 없으며 부산 내 드라이브스루 매장 가운데 부담금을 내는 매장은 한 곳도 없는 실정입니다.
특히 부산 금정구에 위치한 스타** 금정구청점은 차로가 하나뿐인 윤산터널 앞에 위치한데다, 주변에 세무서와 송상현광장, 부산교대역 등 교통량이 매우 많은 곳에 위치하고 있어 교통 혼잡이 극심한 상황입니다. 저와 제 지인들도 스타** 금정구청점 DT를 이용하며 주변 경찰서에 민원을 여러번 넣었음에도 불구하고 전혀 해결이 되고 있지 않습니다.
그러나 실제로 충북 제천시에서는 민관이 협력해 스타** 제천DT점에서 진입로 옆 인도 일부에 길이 20m, 폭 2m의 가감차선을 설치했습니다. 제천시에서도 도로점용허가를 내주었고 스타**에서 공사비를 부담하여 교통 정체를 해결하기 위해 노력했는데, 금정구청에서도 방안을 마련해 하루 빨리 스타** 금정구청점의 차량 통해 방해와 교통 유발 문제를 해결해 줄 것을 강력히 요청합니다."	경제환경국 일자리경제과
"중앙대로를 지나 다수의 학생들이 부곡초로 등하원중입니다 도로확장공사도 예정되어있고
차량 통행도 많습니다
육교를 없에는 추세라는 답변만 하시는데 추세가 안전보다 중요합니까?
강력히 육교를 건의하는 바이며 삼한이 건축되면서 새로생긴
대우-삼한간 신호등 이용하게 빠른 처리 부탁드립니다
무단횡단하는것도 큰일이구요 아이들이 너무 위험합니다 연세드신분들도 마찬가지구요
답변 기다리겠습니다"	경제환경국 공원녹지과
"문화회관 앞(브니엘고등학교에서 오는 길)최초 두개 차로로 좌회전, 직진이 가능했으나

회전교차로가 생긴 뒤로 두개 차로가 한개차로로 바뀌면서 직진차량까지 회전교차로를 거치기 위해 끼어들기를 해야 합니다.

그로인한 교통체증이 심각합니다.

공사 전과 비교하면 답이 나올겁니다.

그냥 직진하면 되는 차까지도 굳이 차선변경해서 교차로를 통하는게 안타깝습니다.

퇴근시간에는 브니엘고에서 회전교차로를 지나 부곡시장 방향으로 가는 차가 가장 많은데

회전교차로에서 크게 감속해야되고, 끼어들기 눈치봐야되는데

구청에서는 문제 없다고 판단돼 어떤 조치도 없이 이대로 유지할 계획인가요.

어떤 조치가 검토중인가요.

요약 : 두개 차로가 한개가 됐습니다.

추가 : 회전교차로 지나서 노포방향 우회전할때 시계가 안좋습니다. 나무만 제거해도 뻥 뚫린 시야를 얻을 수 있을 것 같습니다.
다 내려와서 차 감속후에 고개 돌려 왼쪽 살피는것도 불편하고, 거울도 제역할 하는지 판단하셔서 제거하는 방향도 검토부탁드립니다."	안전도시국 건설과
"서동시장 공영주차장
부당요금징수

수고많으십니다.
서동 미로시장 자주 방문합니다.

위치는 금정구 서동 167-2

도착하면 어디가냐? 언제오냐? 1000원만 주고 가라
1000원 이면 1시간 40분 요금인데 왜 항상 이렇게 해야하나요?
10분 15분만에 와도 잔돈한번 준적 없는데

여기는 민원이 계속 있던데
기계설치해서 자동화 시키던지 10년넘게 계속 당하려니
너무 답답하네요.

전화도 몇번 해서 교통행정과에 말씀드렸는데
매번똑같습니다. 카드가 되는것도 아니고
왜 현금을 계속 몇배로 더 받아먹는데
방관을 언제까지 할껀가요?

그냥 민간주차장으로 팔아버리던지요

금액이 중요한게 아니라
정당하지않은게 개선이 안되는게 화가 나는겁니다.

위탁? 위탁주고 그 위탁금액 구청으로 다 들어가는거 아닙니까?
세금으로 잘 쓰이겠지요 그런데요
정말 정직하고 규정대로 하는게 더 중요합니다.

제발요."	경제환경국 환경위생과
"금정구를 위해 노고가 많으시죠.

다름이 아니라 금정문화회관앞 회전교차로

사고위험을 위한 개선은 좋은 방법인듯 합니다.

다만.

구서IC에서 내려오는차로 기존 2차로 였고
부곡동에서 올라오는차로 역시 기존 2차로 였습니다.

그런데 이게 전체 1차로씩으로 줄었습니다.
병목현상이 당연히 예상되지 않으십니까?

공사차량이나 공사물품에의한 체증이아니라

도로자체가 차로축소로 인해 너무 심각한데
사무실에서 예상만 하지마시고 와서 보세요.
매일 출 퇴근시간을 너무나 많은 차량이 위험하게 밀집됩니다.

금정문화회관쪽으로 빠지는 차량은 기존 차량의통행량이 많았는데
1줄로 줄이면서 회전교차로에 계속 기다리게 됩니다
제발 와서 보세요."	경제환경국 환경위생과
"금정문화회관 앞 로터리로 인한 교통체증이 엄청나게 심각한 상황입니다

기존 답변내용보니 검토 후 공사한것처럼 하시는데 아침에 한번 나와보신적 있으신가요?

도대체 무슨생각으로 원형을 크게만들어서 2차선도로를 1차선으로 줄이신 건가요?

불법주정차로 인한 교통체증이 문제가 아니라 차선을 줄여서 발생하는 문제입니다

회전차량이 로타리를 다 밟고 넘어갑니다 왜 밟고 넘어 가겠어요?

1. 금정문화회관 앞 교통체증 2. 만남의 광장 주차장 진입불가 3. 학교앞 정차차량으로 체증심화 등등

아사리판 만들어 놓으시고 주정차 단속강화 이런소리 하지마시고 출근시간에 와서 보세요

5분거리를 1시간걸리면 화 안나겠습까! 교통사고가 걱정되셨으면 방지턱을 적정위치에 설치를 하세요"	안전도시국 교통행정과
"금정문화회관 앞 로터리 공사 후 오전8시~오전9시30분까지 정체가 너무 심하게 됩니다.
(공사는 거의 완료된 상황이라 공사자체가 정체를 유발하는 상황은 아닙니다.)

통행량 재조사를 요청드리며, 로터리 구조에 문제가 없는지도 확인해주세요."	안전도시국 건축과
"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202108242029430380 선행민원상세조회"	안전도시국 도시관리과
"업무에 노고가 많으십니다. 다름이아니라,

금정초등학교앞에 공사중인건물 공사도 하지않고 아시바, 그물막이 설치된채로 인도를 막은채 1년6개월째 방치중입니다.
해당공사장바로앞은 금정초등학교 학생들의 등원로로 등하교시 많은학생들이 해당건물 주변으로 다닙니다.
다군다나 강풍및 태풍이올때면 많이흔들리고 설치된 공사관련구조물들이 떨어져 초등학생들이 나칠까봐 염려가됩니다.
빠른 확인및 조치를 부탁드립니다.

※ 첨부파일 :
20210910_102728[337].jpg"	안전도시국 도시관리과
"요즘 금정문화회관 앞에 로터리 공사가 한창인데.... 기존의 2차선을 1차선으로 줄여서 공사를 하다보니 아침 출근시간에 10분이면 통과할 거리가 동래여중고, 동래예중고 학교 등원 차량으로 태평양 아파트 굴다리 부터 밀리기 시작해서 통과 시간이 30분이 넘게 걸립니다. 평소 복잡하지 않는 도로에 왜?? 로터리 공사를 해서 더 복잡하게 만드나요?"	안전도시국 건설과
"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202108260810300476 선행민원상세조회"	구서2동
"음식점 내에서의 식사시간이 22시로 제한되어 22시 이후에 야외에서 음주와 고성방가를 행하는 인원들이 너무 많습니다.
장소는 주로 온천천이며 부산대역 아래에 특히 사람들이 밀집되어 있습니다. 이들 중 일부는 쓰레기를 처리하지 않으며 음식물을 흘려 온천천에서는 냄새가 진동하며 당연히 마스크는 쓰지 않고 크게 소리를 지르며 5명 이상이 모인 그룹도 쉽게 볼 수 있습니다. 최근에는 그 수도 더 많아졌고 거리두기는 지켜지지 않고 있으며 외국인들도 다수 출몰하기 시작하였습니다. 분명 노상음주를 금지한다는 플래카드도 붙였는데 이를 지키지 않는 사람들이 널렸는데도 불구하고 구청에서는 왜 이들을 제지하지 않는지 의문입니다. 쾌적한 환경에서 산책을 즐기고 싶은 사람들에게 악취와 소음으로 불쾌함을 주고 코로나 감염의 위협을 가하는 사람들에게 주의를 주고 이가 지켜지지 않으면 강력히 처벌해야 한다고 생각합니다."	경제환경국 공원녹지과
"하정경로당 자리가 소산역 터 입니다. 지금 하정로 정비 하며 주위을 도색 합니다. 하지만 문제는 하나. 경로당자리에 일반 민간인 한가족이 왜 인지는 모르나 거주하고 있습니다, 둘, 소산역 터 유일 한 진입로인 선동1046번지 도로는 939번지가 보록구 담을 쌓은 채로 자기집 정원으로 사용하고 있습니다, 가장 중요한 소산역 터 진입로는 없고 주변 도로 도색 과 표지석 안내 간판들 만 설치하고 금정 황산 장원 길 이라 하정로 일대에 대대적으로 길 안내 조형물로 뒤 덮습니다, 정작 중요한 하정경로당(소산역 터)에는 안내 간판 하나 못 세우고요. 제가 알기로는 경로당에 거주하시는 분의 반대로 설치 못 한다고 합니다. 또한 유일 한 진입로 도로는 다른 분이 마당으로 사용 중 이고요. 금정 구청은 우선 순위 뭔지도 모르며 엉뚱한 곳에 예산 낭비 중 입니다. 금정구민들 께서는 하정로32 소산역터( 금정 황산장원길)에 한번 오셔서. 눈가리고 아옹하는 구청의 실정을 봐 주시길 부탁드리며 구청은 해결책을 제시 해 주세요."	안전도시국 건설과
"민원제시한 본건물은 구청 에서 허가를 내준 건물 입니다.
허가 주신대로 건축업자는 건물을 지었다 합니다
문제는 왜 1층 바닥면이 건물앞 소방도로보다 낮게 허가가 났는지 입니다.
허가대로 공사후 이듬해 부터 비만오면 1층이 피해 봅니다.
제거 요구하는건 현장에 방문하시어 건물의 바닥면을 보시고 우수시 피해를 줄이고자 의견도 나누고
같이 방법을 모색하고자 민원을 드렸습니다.
허가를 내준 담당부서의 잘못도 있다 봅니다.
그런데,
기 민원 제시한 90844의 답변을 보면 우리는 잘못없다 그러니 건축업자 불러서 알아봐라
이렇게 보입니다.
이런 답변을 듣자고 민원을 올린게 아닙니다.
민원을 다시 생각헤 주십시요"	안전도시국 건설과
"안녕하십니까? 저는 동래구에서 금정구로 이사를 오게된 삼한골든뷰에듀스테이션 입주민입니다.
민원청구를 하게된 이유는 부산대역 4번출구앞 삼거리에 차량통행량이 많아지면서 횡단보도를 횡단하는 보행자는 물론 진입하는 차량들이 많은 위험에 노출되어 사각지대를 보완할수 있는 교통 볼록거울 설치를 당부드리는 바입니다.
특히 삼한골든뷰에듀스테이션 정문에서 4번출구로 올라올때 부곡대우아파트 방향에서 들어오는 차량 및 보행자가 할매손충무김밥집 건물에 가려서 보이질 않아 항상 차량사고 및 인명피해의 위험에 노출되어 있습니다.
도로교통 담당자님께서는 빠른 시일내에 현장 점검을 통하여 교통 불편 해소 및 개선을 부탁드립니다.

※ 첨부파일 :
20210828_084806.jpg
Screenshot_20210902-121510_NAVER.jpg"	경제환경국 환경위생과
"09월 02일 10시 30분경 수림로 81번길 일반쓰레기를 수거하시던 분이 저에게 소리를 질렀습니다.

일반 쓰레기를 버리기 위해 나오자마자 역주행하며 일반쓰레기를 수거하는 수거차량과 마주쳤습니다. 수거차량에 바로 드리기위해서 수거차량을 기다리는데 저에게 오면서 클락션을 ㅇㅕ러번 누르는 등 위협적으로 행동하였습니다. 저에게 가까이 온 후에는 창문을 내려 소리를 질렀습니다. 22시 이전에 일반쓰레기를 배출하라는 내용이었으나 억양과 행동, 눈빛이 위협적이었습니다. 제가 거듭 죄송하다고 말씀드렸지만 계속해서 같은 내용으로 소리를 지르셨습니다. 심지어 저에게 화를 내신다고 다른 빌라에 있는 일반쓰레기는 수거하시지 않으셨습니다.

22시 이후에 배출한 것에 사과를 하였음에도 계속해서 화를 내셨습니다. 늦은 밤 골목길에서 여성이 혼자서 경험하기에는 충분히 공포스러웠으며, 단지 그들의 눈앞에 버리는 모습이 목격되었다는 이유만으로 다른 사람들에게는 하지 못 할 태도와 언행, 행동을 제가 겪어야할 이유를 모르겠습니다. 계속해서 그분의 분노에 찬 눈빛과 얼굴이 아른거릴정도로 저에게는 무서운 일이었습니다.

늦은 밤 일하시는 고충은 충분히 헤아릴 수 있으나, 과연 단 한사람에게 타게팅이 될 분노인지, 그저 저는 분풀이 대상이 아니었는지 의심이 됩니다.

마지막으로 민원드릴 것은 많은 금정구민들이 22시 이후 배출 금지인 것을 모르고있습니다. 금정구청 사이트에사 겨우겨우 찾을 수 있는 내용이며, 많은 사람들은 종량제 봉투에 있는 내용을 유심히 읽지 않습니다. 22시 이후 일반쓰레기를 배출한 시민에게 분노를 표하고싶으시다면, 22시 배출 금지인 점을 충분히 알리셔야갰습니다."	안전도시국 건설과
"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202108242043260381 선행민원상세조회"	경제환경국 자원순환과
"안녕하세요.

1. 문제점
부곡대우 정문 앞 및 신축 삼한에듀케이션 앞 신호체계가 설치되어있음에도 불구하고 작동을하지 않네요.
금정구 1호선 지하철 라인으로 보면 무단횡단 및 교통신호 체계가 형성되지 않아 교통체증 및 사고 위험성이 상당히 높습니다.(항상 보행 시 불
안감 형성)

2. 보도자료
얼마 전 뉴스(http://www.kookje.co.kr/news2011/asp/newsbody.asp?key=20210813.99099003619)
2021.8.13.자 택시기사한테 치여 사망한 사건도 발생하구요. 사람들도 무단횡단 많이하는 편이구요.
교통체계가 없으니 사거리에서 차들도 위험하게 다닙니다. (특히 어제처럼 폭우시에는 더욱 더 위험합니다.)

3. 수요측면
부곡대우만해도 1270세대 이며 삼한에듀 및 푸르지오 세대까지하면 엄청난 인원이 보행하는 곳입니다. (부산대역사로 가는 길)

4. 요청사항
교통체계가 언제쯤 정상화 되는지 궁금하며, 조속히 정상화시켜주시기 바랍니다.(시민들의 안전과 직결된 상황입니다.)
무엇보다 추가 사망사건을 사전에 방지하고자합니다.

※ 첨부파일 :
부곡대우 앞 신호체계 정상화 요청.jpg"	경제환경국 자원순환과
"수고하십니다.
청룡동 상마마을 입구 맞은편 3.1운동유공비가 있습니다.
그런데 이 주위에 그린마운틴, 노천커피라는 간판을 달고 상행위를 하는 천막들이 놓여져있습니다.
식품안전나라에 검색해봐도 등록되어있지않은 무허가 업체입니다.
해당구역은 사유지입니까? 시유지입니까?
나무에 전구를 달아놓고 야간에는 영업을 하던데 행여 불이라도 나면 어쩌겠습니까?
불법영업행위에 해당된다면 법에 의거 강력한 행정처분바랍니다.
시유지에 해당되면 정비하여 3.1운동 유공비에 있는 42분의 공적을 기리고
금정구 출신 독립유공자의 공훈을 선양하며 부산시민의 자긍심과 애향심을 고취하기 위하여
구민 및 모든 분들이 이용할 수있는 추모의 공원으로 탈바꿈했으면 하는 바람입니다.

※ 첨부파일 :
무허가.jpg
3.1운동유공자비 옆.jpg"	안전도시국 건설과
"요즘 온천천이나 이마트앞에 청년생활지원금을 조례로 지정해서 금정구청년들에게 월3만원 이상의 수당을 받게하자며 캠페인을 하는 청년들이 자주 보이고 이마트앞에선 서명까지 유도하고 있었습니다.
서명받는 아가씨에게 왜 이 제도를 만들어야 한다고 주장하는지 이유를 물어보니
금정구에서 남는 예산이 연간 300억이상인데 청년들에게 돌아가는 예산이 없어서 그런다고 합니다.
금정구청이 살림을 알뜰히 살아서 예산이 남으면 칭찬받을 일이죠.
구예산이 풍족해지고 결국 국가재정이 튼튼해지는 건데 세금이 남으면 좋은거 아닌가요?

안그래도 일부 정치인이 세금으로 선심성공약을 남발하는 바람에 국가 재정이 약해질까 걱정되는데
절세로 남은 구의 재정을 꼭 소모해야 하는지 의문입니다.
일정 수 이상 서명을 받으면 구의회에 상정한다는데 저는 절대 반대입니다.
만약 일정 수 이상 서명을 받더라도 이 사안은 구의회에서 가부를 정하기 전에
구민들의 투표가 선행되야 할 만큼 중요한 사안이라고 생각합니다."	안전도시국 교통행정과
